,Label,ECG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_DFA_alpha2,HRV_MFDFA_alpha2_Width,HRV_MFDFA_alpha2_Peak,HRV_MFDFA_alpha2_Mean,HRV_MFDFA_alpha2_Max,HRV_MFDFA_alpha2_Delta,HRV_MFDFA_alpha2_Asymmetry,HRV_MFDFA_alpha2_Fluctuation,HRV_MFDFA_alpha2_Increment,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSEn,HRV_CMSEn,HRV_RCMSEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC,Condition,Participant
1,1,75.77506998365367,791.8086124401914,75.20434803873248,55.82417016709879,58.96418162708378,42.32634204333314,42.41447446330691,0.0949779364068397,0.0534552685817499,798.0,80.0604,0.10032631578947368,108.0,728.0,854.0,19.138755980861244,58.85167464114832,628.0,1034.0,14.928571428571429,203.125,0.0010948254668621449,0.006489423670970005,0.0038534259273802643,0.00017067876647042373,1.6840660215783134,0.5590304848615428,0.33195283183590224,-5.558792675097767,29.99156251346796,101.57515093577473,0.29526475951221004,9570.539971687387,3.3867908979454326,4.687906551407249,1376.0551865868613,0.4880382775119617,0.4801980198019802,0.7731958762886598,0.04411764705882353,48.33087149187592,48.17097103757601,48.48013639096344,50.495049504950494,0.5275926104831524,0.47240738951684746,21.791723820137317,20.620565692254882,0.49911453417104956,0.5008854658289503,71.7608517238174,71.8880480156313,0.5013995816899095,0.49860041831009055,53.03064711645921,52.882412846646424,1.2062271983105122,1.3151494629917648,1.2831021765412989,1.6137309797972264,-1.1478062246772875,-1.4708956672203195,-0.24859982643813178,0.00034028817468950207,0.08148134248424628,0.6153238490723892,1.2110697856956039,0.8396306407974199,0.76870445840281,0.20429223813572506,0.3629999381980886,-0.5585649012404945,0.00016948098712644648,0.07574980497437991,1.038795957039524,1.5611193351632928,6.535431127263231,0.9620623012903918,1.3264199692871788,1.4017978195573744,1.8940684021844703,1.7534617351796482,1.7445283667346694,2.754408114920615,0.6637916955859133,Anxious,1
2,2,85.81919629142408,699.5714285714286,68.5089691729693,16.147473842647383,45.13593886235403,39.489948088089456,39.647687155421735,0.09792991305100779,0.05644877202708315,687.0,69.6822,0.1014296943231441,96.0,638.0,756.0,12.698412698412698,39.682539682539684,600.0,900.0,12.6,46.875,0.006071598780032559,0.04377239651188169,0.00867824397052079,0.0005719339202116939,5.04392324767229,0.825542648674629,0.16367073964807197,-4.7469360783204975,28.035148445961486,93.11466673564547,0.3010819823428448,8201.075799834793,3.3213545102187183,4.620840935917029,1237.067273319796,0.5,0.4915254237288136,0.7413793103448276,0.09375,50.60625398851308,50.5630056466461,50.653758182335075,48.30508474576271,0.6550181601789341,0.3449818398210658,22.69041292505884,16.466975749134406,0.48140084640640113,0.5185991535935991,64.60580139335336,67.05543667453746,0.4958319856616956,0.5041680143383046,48.41882078483064,48.82413787224248,1.4650046424471683,1.7217872006566388,1.7563176924166664,1.5475155167216155,-0.128539327235611,0.7636090775889786,-0.6212706051104456,0.00046975884652310506,0.144876231720597,0.8231393452018471,0.5579478708653052,0.8788653435593401,0.8977971961074187,0.6554522572427945,-0.07385797522377469,-0.46836696480847956,0.0001265465055888872,0.020145825018961484,0.7454652186754065,1.0910934562540822,6.091971391582183,0.8213282945253515,1.0862048210998316,1.212213110691073,1.5315947910563767,1.5991349877776926,1.5049067754162473,2.2517763981509025,0.6645028498571349,Normal,1
3,3,75.78420656705218,791.6877637130801,56.29209891704434,14.331478598328257,52.13004241817271,42.246251463435954,42.32786016471105,0.07110391431721745,0.053362264013400426,794.0,50.4084,0.06348664987405542,70.0,748.0,839.2,21.518987341772153,59.91561181434599,644.0,976.0,12.473684210526315,148.4375,0.010350107690172937,0.0349207445229742,0.0344747422284908,0.0009696528740357748,1.0129370740911534,0.4326412379856898,0.4271156116720008,-3.3675283323868292,29.930316955583113,73.24999799997288,0.40860502078913635,6887.614090217537,2.4473512294800153,4.545038915773216,717.0738906585691,0.4345991561181435,0.4260869565217391,0.5612244897959183,0.025974025974025976,48.719958202716825,48.59255791970448,48.839819981953795,49.56521739130435,0.5472649572649574,0.4527350427350428,22.145937622767057,20.142682531740107,0.4208314812948626,0.5791685187051373,47.51839108755548,55.74553538577022,0.4389264600427992,0.5610735399572007,37.070473727357204,41.9123631821246,1.2101372781999133,2.0251170990336176,1.2427021548129455,2.217302370176466,-1.8632855496257577,-2.776581966238669,-0.018743772481799675,0.004438172250267522,0.40669947760856223,0.4465266552098545,1.157131984103939,0.676233349400108,0.37563120062403166,0.6347683024667372,1.2735788103917456,-0.759782075774923,0.0002983406478900279,0.07840262634136204,1.0299754465773896,1.809050966338116,6.367970718200802,1.163004463735635,1.5869883606912003,1.4600788527565787,2.0230370886391356,1.7692143191857963,1.7650332536754558,3.0376533907842407,0.8321459123310401,Anxious,1
4,4,75.03018125387901,800.8833333333333,71.04634341868177,16.147473842647383,45.13593886235403,55.36373232670335,55.588606288735605,0.08870997867190199,0.0691283362038208,799.0,66.717,0.08350062578222778,87.0,748.0,852.4,31.666666666666664,67.5,638.0,1026.0,10.909090909090908,156.25,0.006071598780032559,0.02909747633644321,0.0425224974679618,0.0007526227780614513,0.6842842746564086,0.4020510208347642,0.5875497007974372,-3.1577219909218743,39.30708046347411,92.59198762034187,0.424519242687027,11433.891517790727,2.355605822884314,4.7651641773705355,872.4409007636385,0.4166666666666667,0.4137931034482759,0.5416666666666666,0.0,51.199040767386094,51.19394992534677,51.199507399833635,46.55172413793103,0.5409154713339474,0.4590845286660526,28.913957687465448,26.637236584926672,0.557438928643188,0.4425610713568121,69.13087504143914,61.59706395186762,0.5549151220754379,0.445084877924562,52.98629461071804,47.45387581837666,0.9869788126544126,1.5764865406615218,1.2048193537204277,1.4315213130606752,-0.6876017987175089,-0.8367499303322905,-0.35619797347263155,0.0004156316903080799,0.13515469092008048,0.8231393452018471,0.5579478708653052,0.8788653435593401,0.8977971961074187,0.6554522572427945,-0.07385797522377469,-0.46836696480847956,0.0001265465055888872,0.020145825018961484,0.613653295425709,1.32687094064909,6.132775154028676,1.2043489544534751,1.2932646174730489,1.1385981544950936,1.5697010516759433,1.7898213341877007,1.8616926169387922,2.5303079298384286,0.8058039028209939,Normal,1
5,5,76.71669281342862,780.964705882353,62.16614586635359,16.147473842647383,45.13593886235403,52.819999819693116,53.131360609404126,0.0796017353897149,0.06763429822352317,782.0,50.4084,0.06446086956521739,66.0,739.6,824.0,28.235294117647058,58.82352941176471,632.0,980.0,9.444444444444445,171.875,0.006071598780032559,0.05686908784864304,0.05443061392618131,0.0006102632039113804,1.0447996769937005,0.5081682212969049,0.48637861638616187,-2.9108285274120336,37.569545380577466,79.88681573073305,0.47028467760199116,9428.89768485752,2.1263716374921207,4.681431033095058,679.4762367175606,0.38823529411764707,0.40476190476190477,0.5882352941176471,0.0,48.9795918367347,48.924372436075494,49.04627087390356,52.38095238095239,0.5988154773080272,0.4011845226919729,29.07572166535933,23.798855900414093,0.4068068652864614,0.5931931347135384,50.95293992755086,61.52805246662283,0.4415881618063341,0.558411838193666,41.48252449901074,46.64808025259007,1.1525487801736962,1.4053574848126038,1.3625366899225602,1.486740945544359,-0.38283583457551273,-0.4955155663003543,-0.4116208815450535,0.00022925700488885575,0.10119045709715105,0.8231393452018471,0.5579478708653052,0.8788653435593401,0.8977971961074187,0.6554522572427945,-0.07385797522377469,-0.46836696480847956,0.0001265465055888872,0.020145825018961484,0.5069992747160792,1.148622709242771,5.632460347698787,1.1125881858478242,0.9477014634622298,1.094142409461336,1.362986668067807,1.8302900545760992,1.7960038290322071,2.7574772290824567,0.980259790232825,Anxious,1
6,6,77.51878117660458,774.5637065637065,79.43506193915822,17.756088341419172,76.57503729307813,61.20242179937431,61.32134557525048,0.10255458817140539,0.0790153492614497,768.0,71.1648,0.0926625,95.0,710.0,822.8,29.343629343629345,60.61776061776062,624.0,1062.0,15.235294117647058,156.25,0.0035954719788796143,0.015872808691632843,0.016120143563915227,0.00042879860832381654,0.9846567822859816,0.4407005159984804,0.44756764379903935,-4.127685635993236,43.36073928774331,103.55787960487058,0.41871018847805713,14106.838692862957,2.3882867613870014,4.856399810316441,989.3036515904855,0.43243243243243246,0.4153225806451613,0.5436893203883495,0.023255813953488372,49.92652461425423,49.842635287272884,50.01911460124816,49.193548387096776,0.6092798013245033,0.3907201986754967,33.8458395675322,27.103778075984497,0.4379249409933344,0.5620750590066657,68.53035626051476,77.63906683534904,0.4634853850642792,0.5365146149357207,54.04604789077645,58.148256573417626,1.0170051682500483,2.543038681718026,1.3512707825110364,1.7556953218392928,-2.1493021639663326,-1.8675991137677248,-0.34096799540027634,0.0006578411679624303,0.3205482495353814,0.678758073914107,0.40082346518161005,0.7155798305793586,0.7511215081515654,0.3547725193378497,-0.31680919106884886,-0.41132835110812893,1.4612223579278662e-05,0.005246886865400111,1.021013301230965,1.5021261766450125,6.668503716328547,1.0741565888593156,1.1932729366212227,1.5015980507940487,2.074262930971912,1.7090548406358763,1.7827449474135788,2.5577345973697305,0.8357290492955096,Normal,1
7,7,80.43248872819595,746.2684210526315,66.09941340352148,23.117827127129807,62.52790593785924,43.59684405135225,43.61593827042055,0.08857324193121624,0.05841978947716659,738.0,68.19959999999999,0.09241138211382112,90.0,690.0,800.0,17.982456140350877,51.66666666666667,612.0,1034.0,17.01492537313433,273.4375,0.009626926341273127,0.022222116983804264,0.009322881982922516,0.00039611584355203784,2.3836102424669035,0.5345962034339115,0.224280041220428,-4.675283472449567,30.841125718828224,88.2640834781723,0.34941874999988226,8551.929466104286,2.8618956481308944,4.639034220239218,1010.4103855697731,0.42894736842105263,0.412568306010929,0.5805739514348786,0.02005730659025788,50.114757860913464,50.078911262420874,50.15265905117603,50.91074681238615,0.6045378958648979,0.395462104135102,23.97963400680202,19.39470694012924,0.49251677030547575,0.5074832296945242,61.94332694290889,62.87744173776208,0.5047056647436367,0.4952943352563637,46.96806681063357,46.52809547348334,1.286295512448524,1.6081651902393883,1.5807345656153302,1.4478308094520935,0.280921247853831,0.9341419064415426,-0.5826430997075946,0.0005047057347787872,0.1488432371724939,0.7256711089303627,0.3814728400879259,0.787248995739783,0.9164075289743256,0.07983225749019596,-0.9280047784564975,-0.16142141808897117,6.565961317484306e-05,0.010241486657791584,1.3126451386024032,1.3118461892656652,6.895169438861344,0.9870236618185365,1.1266457000161363,1.4284383122256055,2.1243873630461825,1.6220484307381409,1.6434462146329671,2.868100491889875,0.6858956091201861,Anxious,1
8,8,72.74290680040716,826.0127388535032,106.20193454549747,49.51099976132422,97.78663636565949,78.05579019508241,78.13868221795069,0.12857178775826705,0.09449707797899462,812.0,100.8168,0.12415862068965518,137.0,734.0,908.0,43.09978768577495,74.94692144373673,580.0,1172.0,23.55,210.9375,0.0035573741663750664,0.0036359320911096625,0.006204024574149291,0.00022661490762102427,0.5860602335876836,0.26687805138810505,0.45537648878573167,-5.082557072658718,55.25239206929362,139.67409214493995,0.3955808211873549,24244.70001116747,2.5279284192758684,5.091586924756885,1412.344427879,0.37579617834394907,0.37339055793991416,0.43103448275862066,0.00625,50.18334206390781,50.11035548349748,50.256863083071494,54.077253218884124,0.6033527356741859,0.39664726432581404,42.91788162176445,34.79804665743047,0.44122483103946797,0.5587751689605321,92.77817596159136,104.40815141430849,0.4631625367590269,0.5368374632409733,72.28324320912765,77.82019703433639,0.9519650393710306,1.470614184459886,1.15351770423159,1.3551645351010184,-0.35300871332266937,-0.38961878712367604,-0.36288257450509537,0.0007266759394568351,0.1297553379033467,0.9723391157814061,0.2650541893186269,0.7213532944288519,0.8538803890881653,1.0281367359321454,-0.14325974290414445,0.0,0.00012951220924487748,0.008118946120206978,1.0810499900247938,1.1750849633801874,7.247870024344252,1.0896273750730499,1.428536102863451,1.2555105665565522,1.9739669210558601,1.6496897408590299,1.8531706654073161,2.8731949086630193,0.7352521162099758,Normal,1
1,1,63.56943189650196,945.4827586206897,73.93566365412622,24.216184939018717,68.63772375962783,65.9197269762571,66.10729322067759,0.07819884919105949,0.06972070762286939,939.0,69.6822,0.07420894568690095,93.0,880.4,1000.8,43.67816091954023,77.58620689655173,794.0,1150.0,15.818181818181818,156.25,0.0015709120615814383,0.056229175121617264,0.05762777590181574,0.0007163675169734401,0.9757304397348014,0.48413231402175966,0.4961742447569273,-2.8537506069936063,46.74491532222861,93.1245099390666,0.5019614637737673,13675.658597082485,1.9921848033551386,4.842918360374306,742.0849340820121,0.42528735632183906,0.4235294117647059,0.5416666666666666,0.03333333333333333,49.33011201405667,49.240451961169136,49.41640537160859,46.470588235294116,0.5240530172023902,0.47594698279760994,33.84128481809659,32.25065349977874,0.4881655564367302,0.5118344435632699,65.06501992440546,66.62370099017342,0.49538877723830793,0.5046112227616921,51.85889208179642,52.339383760180176,1.036883415490584,1.8949548652870347,1.1927282394299106,1.8419469615522541,-1.2165593514097264,-1.8753807212075992,-0.15739620820783803,0.00424291042667558,0.3358391943549431,0.643165663428601,1.0783381148024174,0.7364184510347076,1.0443793184433028,-0.8947610760188613,-1.5306383322748744,-0.21441159022277304,0.0001262845514818098,0.05608731870135929,0.8284033977901188,1.513449536605137,6.382353878139963,1.3641460513244952,1.324914620834037,1.4038141355546943,1.853491517794776,1.8107328506273888,1.8772168492541175,3.4541249827542098,1.026612895979135,Anxious,2
2,2,64.57574722845285,929.6595744680851,40.945427407995474,16.147473842647383,45.13593886235403,44.053730634257285,44.29248488088918,0.04404346336283671,0.04738694877580657,930.0,40.0302,0.04304322580645161,53.0,896.4,960.0,28.723404255319153,73.40425531914893,842.0,1080.0,9.4,125.0,0.006071598780032559,0.05176657646732696,0.08364313311497032,0.002717667036694369,0.6188981036395665,0.37477419563334685,0.6055507254415625,-2.4811959455947163,31.319516414879367,48.89636118820504,0.6405285721432042,4811.067620996317,1.5612106055690955,4.389211571046267,305.35007064305125,0.5106382978723404,0.5217391304347826,0.8333333333333334,0.029411764705882353,50.058207217694985,50.06382003519009,50.05312366509306,41.30434782608695,0.4271087274500244,0.5728912725499755,20.468427436887534,23.705622154652055,0.5002394074797811,0.4997605925202189,34.58322508221685,34.56667007914028,0.47896426181568164,0.5210357381843184,28.41615718940901,29.637908176010516,0.8115639922169564,2.8640194553360834,1.0468895453583404,1.8246372597624156,-2.1738354285466706,-2.013956666142325,-0.22844188856503106,0.007778498605503138,0.6540471043323528,0.8231393452018471,0.5579478708653052,0.8788653435593401,0.8977971961074187,0.6554522572427945,-0.07385797522377469,-0.46836696480847956,0.0001265465055888872,0.020145825018961484,0.6413989853822839,1.75539182505718,5.552048096810323,1.4230215178283145,1.0697233235476862,1.1053510732035263,1.3531465988417823,1.8950179204168267,1.9166865898301257,3.7434200127302466,1.1156746981578958,Normal,2
