,Label,RSP_Rate_Mean,RSP_Amplitude_Mean,RSP_Phase_Duration_Inspiration,RSP_Phase_Duration_Expiration,RSP_Phase_Duration_Ratio,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SDSD,RRV_CVBB,RRV_CVSD,RRV_MedianBB,RRV_MadBB,RRV_MCVBB,RRV_VLF,RRV_LF,RRV_HF,RRV_LFHF,RRV_LFn,RRV_HFn,RRV_SD1,RRV_SD2,RRV_SD2SD1,RRV_ApEn,RRV_SampEn,Condition,Participant
1,1,18.38702897253893,10.523358561382615,0.0024403240272511508,0.004059744246664894,0.601102896877283,780.3386345782096,3244.7169811320755,723.6132726532467,787.8708224581266,0.22301275484457797,0.24049513073585574,3156.0,738.3348,0.2339463878326996,0.010642766963116279,0.012576258368984565,0.0010419113071863373,12.070373247936548,0.5183748078637277,0.04294604625854008,557.1088012591638,858.4067335939656,1.5408242189924402,0.3152626951942987,1.55814461804655,Anxious,1
2,2,20.114431204837786,10.66136265600929,0.0021779833936039143,0.00375095077678337,0.5806483537679599,534.7823192966069,2969.8125,469.71902634412993,543.3142736943324,0.15816453945968978,0.18007275519804936,2974.0,416.6106,0.14008426361802287,0.009658749415266732,0.030441364481730956,0.006282052894798681,4.845766979602374,0.552392953857464,0.03009421265983092,384.1812072447063,541.9194842588287,1.4105830114528484,0.09987705689708459,1.3862943611198906,Normal,1
3,3,16.595959956779964,9.943250645385337,0.0028001764327585804,0.004466489560500609,0.6269300296863861,650.7008056407633,3643.0943396226417,703.5728124844961,656.5818934492709,0.19312505987900755,0.1786121206260511,3518.0,711.6479999999999,0.20228766344513927,0.009459942738631974,0.006944329205517838,0.0002609846282029203,26.608192418591393,0.41669500708667856,0.015660402650859134,464.27350926228263,880.0451769835303,1.8955317489078731,0.3178331322762933,2.7080502011022105,Anxious,1
4,4,14.73588630005387,11.668366650908878,0.0029660770409621036,0.005266136782773579,0.5632358526395748,756.3765596579524,4128.941176470588,470.80947189232444,780.8883402894423,0.11402668426842824,0.18318898897574068,4196.0,551.5272,0.13144118207816968,0.009658749415266732,0.03680950900525813,0.0017762821699991611,20.722782464947848,0.552392953857464,0.03009421265983092,552.1714407681729,372.0615777624168,0.6738153230902527,0.02210487643242187,1.5135173236859254,Normal,1
5,5,16.625883370538737,10.102943508589526,0.0028537753149031645,0.004382893711966631,0.6511167056393568,768.093483893725,3623.753086419753,727.7604951298229,772.91936959733,0.2008305968354058,0.21196076707659928,3510.0,747.2304000000006,0.21288615384615403,0.010965609948288962,0.006261523208958111,0.00022677386993107124,27.61130817611978,0.35874622221878766,0.0129927281942062,546.5365275527035,872.1057852083329,1.5956953309479103,0.5291658517917361,2.151762203259462,Normal,1
6,6,16.15413708768661,10.398692782648613,0.00300417133270051,0.0044646137471851454,0.6728849353641361,757.6436677440968,3738.3571428571427,637.6073579069982,764.4735483066802,0.17055817128796025,0.2026675458741876,3673.0,722.0261999999999,0.19657669479989107,0.008998365976406266,0.02740018028125991,0.0012775595877092083,21.44728163356448,0.7272561658498258,0.033909013658480966,540.5644300453953,721.7176613357767,1.3351186671220092,0.38398893000051526,1.5135173236859254,Normal,1
7,7,17.09369861030524,11.330672385276996,0.0025336780097508075,0.004520125241627924,0.5605327008236397,826.0334573897553,3533.588477366255,726.1321933234539,827.7253767219973,0.20549427245831223,0.23376617358833923,3488.0,747.2303999999999,0.21422889908256879,0.01586752066992392,0.01210400823400716,0.00039942990119883515,30.3032101444549,0.42663373899857643,0.01407882983237817,585.2902268403141,843.783902860604,1.441650422587383,1.097435446886701,2.1658740474521436,Anxious,1
8,8,13.43930429512789,10.788278893779493,0.003658355370428539,0.005350890390815591,0.6836909566878506,1103.5378426293057,4511.318181818182,951.4030721217129,1109.881106501668,0.21089247837940617,0.24461538693432403,4347.0,677.5482,0.15586570048309178,0.009651667962560936,0.004403797691183504,4.6293790077083806e-05,95.12717977618031,0.31228710918856034,0.003282837880018351,784.8044567181582,1092.8941284500447,1.3925687081597815,0.5767473099050022,1.2957803535790589,Anxious,1
1,1,12.486155321956485,0.4343665943289871,0.006000296756618982,0.00376037606487953,1.5956640115491247,1805.4823699596998,4903.2,1201.1744448908423,1831.50753486503,0.24497765640619235,0.3682253161118657,4702.0,1017.0636,0.21630446618460228,0.010227854464531647,0.03412989128281704,0.0004910086334250051,69.50975799497816,0.7609997591694153,0.010948099678672382,1295.0713976973198,1099.2862088573463,0.8488228608954795,0.3440357227736066,1.5135173236859254,Anxious,2
2,2,17.37448825551366,0.2934905499122593,0.0039028936611514038,0.003165206800714586,1.2330611890099172,1625.4397748112544,3553.185185185185,1224.1856645585021,1655.6286465825044,0.34453190609447504,0.45745990993895796,3366.0,681.996,0.20261319073083778,0.009658749415266732,0.0381727151145576,0.0025391189591922997,15.033842733662404,0.552392953857464,0.03009421265983092,1170.7062431251948,1275.4246253419979,1.0894488970497482,0.10967163342009956,1.5135173236859254,Normal,2
3,3,16.568819562984768,0.33842675318772375,0.0041604193829287775,0.0031250686033865694,1.3313049762876312,904.0955106114023,3653.2075471698113,601.6283467675477,912.8758157065838,0.16468496218717088,0.24747991975211406,3644.0,495.18839999999994,0.13589143798024148,0.006586057231438106,0.05449502611607239,0.002777722924090395,19.61859681664166,0.8533674413564363,0.04349788363215453,645.5006796673264,554.2943331999028,0.8587044919698166,0.31156085686388035,2.197224577336219,Anxious,2
4,4,19.662985856328408,0.31336396433809727,0.0030755998857113164,0.00304691247391707,1.0094152398665284,1089.4126858082752,3064.9166666666665,733.2915617220435,1105.6791377842057,0.23925334404590998,0.35544610320289577,2886.0,487.7754,0.1690143451143451,0.009658749415266732,0.06519353497548129,0.03161365858861039,2.0621951993550307,0.552392953857464,0.03009421265983092,781.8332161437069,681.300118244445,0.8714136265594744,0.1786555683824682,0.916290731874155,Normal,2
5,5,16.89497220783166,0.2297110472557774,0.0037422691029043633,0.0035015544436887334,1.0687450853861487,1072.7358481937667,3612.0,894.6223784368464,1079.0369815696479,0.2476806141851734,0.29699220603371174,3592.0,489.258,0.1362076837416481,0.001877525800663706,0.0061048662516968956,0.0008848647305851295,6.899208478633752,0.6884729292421414,0.09979013264699599,762.9943668189617,1009.2264345539764,1.3227180677120767,0.7112272137300044,1.7719568419318747,Normal,2
6,6,17.775859058161316,0.20557882735223806,0.004043304991832464,0.0028249448095149384,1.4312863664500144,1365.1232017412215,3441.0,1065.5734828990571,1376.7921406226942,0.30966971313544234,0.3967228136417383,3446.0,910.3163999999999,0.2641661056297156,0.0068570778098189095,0.020355768181327897,0.0011271202067841513,18.059979812983798,0.7182707290178078,0.039771402651370844,973.5390589186499,1150.267532218068,1.1815319803354554,0.4007914282367788,2.9957322735539913,Normal,2
