,Feature,Pearson Coefficent Selector,Logistic Regression Selector,Random Forest Selector,Extra Tree Selector,Chi-2 Selector,Forward Feature Selector,Backward Feature Selector,Mutual Info Selector,Factor Analysis Selector,PCA selector,Total
1,RRV_LFn,False,True,True,True,False,True,True,True,False,False,6
2,RRV_ApEn,True,False,True,True,True,True,True,False,False,False,6
3,HRV_ApEn,True,True,True,True,True,False,False,False,False,False,5
4,HRV_VLF,False,False,False,True,False,False,True,True,False,False,3
5,HRV_LF,True,True,False,False,True,False,False,False,False,False,3
6,RRV_MeanBB,False,False,False,False,False,False,False,False,True,True,2
7,RRV_HFn,False,False,True,False,False,False,False,True,False,False,2
8,HRV_SI,True,True,False,False,False,False,False,False,False,False,2
9,HRV_RCMSEn,True,False,False,True,False,False,False,False,False,False,2
10,RRV_SDBB,False,False,False,False,False,False,False,False,True,False,1
11,RRV_CVBB,False,False,False,False,False,False,False,False,False,True,1
12,HRV_VHF,False,False,False,False,False,True,False,False,False,False,1
13,HRV_ShanEn,False,False,False,False,False,True,False,False,False,False,1
14,HRV_SDSD,False,False,False,False,False,False,False,False,True,False,1
15,HRV_SDNNI1,False,False,False,False,False,False,False,True,False,False,1
16,HRV_SD1SD2,False,False,False,False,False,False,False,False,True,False,1
17,HRV_PI,False,False,False,False,False,False,False,False,False,True,1
18,HRV_MFDFA_alpha2_Max,False,False,False,False,False,False,False,True,False,False,1
19,HRV_MFDFA_alpha2_Increment,False,False,False,False,True,False,False,False,False,False,1
20,HRV_MFDFA_alpha2_Fluctuation,False,False,False,False,True,False,False,False,False,False,1
21,HRV_IQRNN,False,False,False,False,False,False,False,False,True,False,1
22,HRV_GI,False,False,False,False,False,False,True,False,False,False,1
23,HRV_DFA_alpha2,False,True,False,False,False,False,False,False,False,False,1
24,HRV_DFA_alpha1,False,False,False,False,False,False,False,False,False,True,1
25,HRV_Ca,False,False,False,False,False,True,False,False,False,False,1
26,HRV_CVNN,False,False,False,False,False,False,False,False,False,True,1
27,HRV_C2d,False,False,False,False,False,False,True,False,False,False,1
28,HRV_AI,False,False,True,False,False,False,False,False,False,False,1
29,RSP_Rate_Mean,False,False,False,False,False,False,False,False,False,False,0
30,RSP_Phase_Duration_Ratio,False,False,False,False,False,False,False,False,False,False,0
31,RSP_Phase_Duration_Inspiration,False,False,False,False,False,False,False,False,False,False,0
32,RSP_Phase_Duration_Expiration,False,False,False,False,False,False,False,False,False,False,0
33,RSP_Amplitude_Mean,False,False,False,False,False,False,False,False,False,False,0
34,RRV_VLF,False,False,False,False,False,False,False,False,False,False,0
35,RRV_SampEn,False,False,False,False,False,False,False,False,False,False,0
36,RRV_SDSD,False,False,False,False,False,False,False,False,False,False,0
37,RRV_SD2SD1,False,False,False,False,False,False,False,False,False,False,0
38,RRV_SD2,False,False,False,False,False,False,False,False,False,False,0
39,RRV_SD1,False,False,False,False,False,False,False,False,False,False,0
40,RRV_RMSSD,False,False,False,False,False,False,False,False,False,False,0
41,RRV_MedianBB,False,False,False,False,False,False,False,False,False,False,0
42,RRV_MadBB,False,False,False,False,False,False,False,False,False,False,0
43,RRV_MCVBB,False,False,False,False,False,False,False,False,False,False,0
44,RRV_LFHF,False,False,False,False,False,False,False,False,False,False,0
45,RRV_LF,False,False,False,False,False,False,False,False,False,False,0
46,RRV_HF,False,False,False,False,False,False,False,False,False,False,0
47,RRV_CVSD,False,False,False,False,False,False,False,False,False,False,0
48,HRV_pNN50,False,False,False,False,False,False,False,False,False,False,0
49,HRV_pNN20,False,False,False,False,False,False,False,False,False,False,0
50,HRV_TINN,False,False,False,False,False,False,False,False,False,False,0
51,HRV_SampEn,False,False,False,False,False,False,False,False,False,False,0
52,HRV_SDNNd,False,False,False,False,False,False,False,False,False,False,0
53,HRV_SDNNa,False,False,False,False,False,False,False,False,False,False,0
54,HRV_SDNN,False,False,False,False,False,False,False,False,False,False,0
55,HRV_SDANN1,False,False,False,False,False,False,False,False,False,False,0
56,HRV_SD2d,False,False,False,False,False,False,False,False,False,False,0
57,HRV_SD2a,False,False,False,False,False,False,False,False,False,False,0
58,HRV_SD2,False,False,False,False,False,False,False,False,False,False,0
59,HRV_SD1d,False,False,False,False,False,False,False,False,False,False,0
60,HRV_SD1a,False,False,False,False,False,False,False,False,False,False,0
61,HRV_SD1,False,False,False,False,False,False,False,False,False,False,0
62,HRV_S,False,False,False,False,False,False,False,False,False,False,0
63,HRV_RMSSD,False,False,False,False,False,False,False,False,False,False,0
64,HRV_Prc80NN,False,False,False,False,False,False,False,False,False,False,0
65,HRV_Prc20NN,False,False,False,False,False,False,False,False,False,False,0
66,HRV_PSS,False,False,False,False,False,False,False,False,False,False,0
67,HRV_PIP,False,False,False,False,False,False,False,False,False,False,0
68,HRV_PAS,False,False,False,False,False,False,False,False,False,False,0
69,HRV_MinNN,False,False,False,False,False,False,False,False,False,False,0
