,Feature,Pearson Coefficent Selector,Logistic Regression Selector,Random Forest Selector,Extra Tree Selector,Chi-2 Selector,Forward Feature Selector,Backward Feature Selector,Mutual Info Selector,Factor Analysis Selector,PCA selector,Total
1,HRV_ApEn,True,True,True,True,True,False,True,True,False,False,7
2,RRV_HFn,False,False,True,True,True,False,False,True,False,True,5
3,RRV_ApEn,True,False,True,True,True,False,False,False,False,True,5
4,RRV_LFn,False,True,True,True,False,False,False,True,False,False,4
5,HRV_VLF,False,False,True,True,False,False,True,True,False,False,4
6,HRV_MFDFA_alpha2_Increment,False,False,False,False,True,False,False,True,True,True,4
7,RRV_VLF,False,False,True,True,False,False,False,True,False,False,3
8,RRV_LFHF,False,True,True,False,False,False,True,False,False,False,3
9,HRV_SI,True,True,False,True,False,False,False,False,False,False,3
10,HRV_SDNNI1,False,False,False,False,False,True,True,True,False,False,3
11,HRV_RCMSEn,True,False,True,True,False,False,False,False,False,False,3
12,HRV_PSS,False,True,False,False,False,True,True,False,False,False,3
13,HRV_LF,True,False,False,True,True,False,False,False,False,False,3
14,HRV_GI,True,False,True,False,False,False,False,False,True,False,3
15,HRV_DFA_alpha2,True,True,False,True,False,False,False,False,False,False,3
16,RSP_Phase_Duration_Inspiration,False,False,False,False,False,True,True,False,False,False,2
17,RRV_SampEn,False,False,False,False,False,True,True,False,False,False,2
18,RRV_MeanBB,False,False,False,False,False,False,False,False,True,True,2
19,HRV_MFDFA_alpha2_Fluctuation,True,False,False,False,True,False,False,False,False,False,2
20,HRV_C2d,False,False,True,False,False,False,True,False,False,False,2
21,RSP_Amplitude_Mean,False,False,False,False,False,True,False,False,False,False,1
22,RRV_SD1,False,False,False,False,False,True,False,False,False,False,1
23,RRV_RMSSD,False,False,False,False,False,False,False,False,True,False,1
24,RRV_MedianBB,False,False,False,False,False,True,False,False,False,False,1
25,RRV_MadBB,False,True,False,False,False,False,False,False,False,False,1
26,RRV_HF,False,False,False,False,True,False,False,False,False,False,1
27,RRV_CVBB,False,False,False,False,False,False,False,False,False,True,1
28,HRV_VHF,False,False,False,False,True,False,False,False,False,False,1
29,HRV_ShanEn,True,False,False,False,False,False,False,False,False,False,1
30,HRV_SDNNd,False,False,False,False,False,True,False,False,False,False,1
31,HRV_SD1d,False,False,False,False,False,False,False,False,True,False,1
32,HRV_SD1SD2,False,False,False,False,False,False,False,False,True,False,1
33,HRV_S,False,False,False,False,True,False,False,False,False,False,1
34,HRV_PI,False,False,False,False,False,False,False,False,False,True,1
35,HRV_MedianNN,False,False,False,False,False,False,False,False,True,False,1
36,HRV_MFDFA_alpha2_Width,False,False,False,False,False,False,False,True,False,False,1
37,HRV_MFDFA_alpha2_Peak,False,False,False,False,False,False,False,True,False,False,1
38,HRV_MFDFA_alpha2_Max,False,False,False,False,False,False,False,True,False,False,1
39,HRV_MFDFA_alpha2_Delta,False,False,False,False,False,False,False,False,False,True,1
40,HRV_MFDFA_alpha1_Width,False,False,False,False,False,False,True,False,False,False,1
41,HRV_MFDFA_alpha1_Mean,False,False,False,False,False,False,False,False,False,True,1
42,HRV_MFDFA_alpha1_Max,False,False,False,False,False,True,False,False,False,False,1
43,HRV_MFDFA_alpha1_Increment,False,False,False,False,False,False,False,False,True,False,1
44,HRV_KFD,False,True,False,False,False,False,False,False,False,False,1
45,HRV_IQRNN,False,False,False,False,False,False,False,False,True,False,1
46,HRV_HF,False,False,False,False,True,False,False,False,False,False,1
47,HRV_DFA_alpha1,False,False,False,False,False,False,False,False,False,True,1
48,HRV_Cd,False,False,False,False,False,True,False,False,False,False,1
49,HRV_CVNN,False,False,False,False,False,False,False,False,False,True,1
50,HRV_CSI,False,True,False,False,False,False,False,False,False,False,1
51,HRV_CMSEn,True,False,False,False,False,False,False,False,False,False,1
52,HRV_CD,False,True,False,False,False,False,False,False,False,False,1
53,HRV_C2a,False,False,False,False,False,False,False,False,True,False,1
54,HRV_AI,False,False,False,False,False,False,True,False,False,False,1
55,RSP_Rate_Mean,False,False,False,False,False,False,False,False,False,False,0
56,RSP_Phase_Duration_Ratio,False,False,False,False,False,False,False,False,False,False,0
57,RSP_Phase_Duration_Expiration,False,False,False,False,False,False,False,False,False,False,0
58,RRV_SDSD,False,False,False,False,False,False,False,False,False,False,0
59,RRV_SDBB,False,False,False,False,False,False,False,False,False,False,0
60,RRV_SD2SD1,False,False,False,False,False,False,False,False,False,False,0
61,RRV_SD2,False,False,False,False,False,False,False,False,False,False,0
62,RRV_MCVBB,False,False,False,False,False,False,False,False,False,False,0
63,RRV_LF,False,False,False,False,False,False,False,False,False,False,0
64,RRV_CVSD,False,False,False,False,False,False,False,False,False,False,0
65,HRV_pNN50,False,False,False,False,False,False,False,False,False,False,0
66,HRV_pNN20,False,False,False,False,False,False,False,False,False,False,0
67,HRV_TINN,False,False,False,False,False,False,False,False,False,False,0
68,HRV_SampEn,False,False,False,False,False,False,False,False,False,False,0
69,HRV_SDSD,False,False,False,False,False,False,False,False,False,False,0
70,HRV_SDNNa,False,False,False,False,False,False,False,False,False,False,0
71,HRV_SDNN,False,False,False,False,False,False,False,False,False,False,0
72,HRV_SDANN1,False,False,False,False,False,False,False,False,False,False,0
73,HRV_SD2d,False,False,False,False,False,False,False,False,False,False,0
74,HRV_SD2a,False,False,False,False,False,False,False,False,False,False,0
75,HRV_SD2,False,False,False,False,False,False,False,False,False,False,0
76,HRV_SD1a,False,False,False,False,False,False,False,False,False,False,0
77,HRV_SD1,False,False,False,False,False,False,False,False,False,False,0
78,HRV_RMSSD,False,False,False,False,False,False,False,False,False,False,0
79,HRV_Prc80NN,False,False,False,False,False,False,False,False,False,False,0
80,HRV_Prc20NN,False,False,False,False,False,False,False,False,False,False,0
81,HRV_PIP,False,False,False,False,False,False,False,False,False,False,0
82,HRV_PAS,False,False,False,False,False,False,False,False,False,False,0
83,HRV_MinNN,False,False,False,False,False,False,False,False,False,False,0
84,HRV_MeanNN,False,False,False,False,False,False,False,False,False,False,0
85,HRV_MaxNN,False,False,False,False,False,False,False,False,False,False,0
86,HRV_MadNN,False,False,False,False,False,False,False,False,False,False,0
