,Feature,Pearson Coefficent Selector,Logistic Regression Selector,Random Forest Selector,Extra Tree Selector,Chi-2 Selector,Forward Feature Selector,Backward Feature Selector,Mutual Info Selector,Factor Analysis Selector,PCA selector,Total
1,RRV_HFn,True,True,True,True,True,True,True,True,True,True,10
2,RRV_ApEn,True,True,True,True,True,True,True,True,True,False,9
3,RRV_SD2SD1,True,True,True,True,False,True,True,True,True,False,8
4,RRV_LFn,True,False,True,True,True,True,True,True,False,True,8
5,RRV_VLF,True,False,True,True,True,False,False,True,True,True,7
6,RRV_LFHF,True,True,True,True,True,False,False,True,False,True,7
7,RSP_Phase_Duration_Inspiration,True,True,False,True,True,True,False,False,False,False,5
8,RSP_Rate_Mean,False,True,False,False,False,False,True,True,False,True,4
9,RRV_SDBB,True,False,False,False,True,False,False,True,False,True,4
10,RRV_LF,False,True,True,True,False,False,False,False,True,False,4
11,RRV_HF,True,False,False,False,True,False,False,False,True,True,4
12,RRV_CVSD,False,False,True,False,False,True,True,True,False,False,4
13,RSP_Phase_Duration_Ratio,False,True,False,False,False,False,False,False,True,True,3
14,RSP_Amplitude_Mean,False,False,False,False,False,True,True,False,False,True,3
15,RRV_SD2,True,False,False,True,True,False,False,False,False,False,3
16,RRV_MeanBB,False,False,True,False,False,True,True,False,False,False,3
17,RRV_MCVBB,False,False,False,False,False,True,True,False,True,False,3
18,RRV_CVBB,False,False,True,False,False,True,True,False,False,False,3
19,RRV_SampEn,False,False,False,True,False,False,False,False,False,True,2
20,RRV_RMSSD,False,True,False,False,False,False,False,False,True,False,2
21,RRV_MedianBB,False,True,False,False,False,False,False,False,True,False,2
22,RRV_SD1,False,False,False,False,False,False,False,True,False,False,1
23,RRV_MadBB,False,False,False,False,True,False,False,False,False,False,1
24,RSP_Phase_Duration_Expiration,False,False,False,False,False,False,False,False,False,False,0
25,RRV_SDSD,False,False,False,False,False,False,False,False,False,False,0
