,Feature,Pearson Coefficent Selector,Logistic Regression Selector,Random Forest Selector,Extra Tree Selector,Chi-2 Selector,Forward Feature Selector,Backward Feature Selector,Mutual Info Selector,Factor Analysis Selector,PCA selector,Total
1,RRV_ApEn,True,True,True,True,True,True,True,True,False,False,8
2,RRV_VLF,False,False,True,True,False,False,False,True,True,True,5
3,RRV_SD2SD1,False,False,False,True,False,True,True,False,True,True,5
4,RRV_LFn,False,False,True,True,False,True,True,True,False,False,5
5,RRV_MadBB,True,True,True,False,True,False,False,False,False,False,4
6,RRV_LF,True,True,False,False,True,False,False,False,False,False,3
7,RRV_HFn,False,False,True,True,False,False,False,True,False,False,3
8,RSP_Phase_Duration_Ratio,False,False,False,False,False,False,False,False,True,True,2
9,RSP_Amplitude_Mean,False,False,False,False,False,True,True,False,False,False,2
10,RRV_SD2,True,False,False,False,True,False,False,False,False,False,2
11,RRV_MeanBB,False,False,False,False,False,True,True,False,False,False,2
12,RRV_HF,True,False,False,False,True,False,False,False,False,False,2
13,RSP_Rate_Mean,False,False,False,False,False,False,False,False,False,True,1
14,RSP_Phase_Duration_Inspiration,False,True,False,False,False,False,False,False,False,False,1
15,RRV_SDBB,False,False,False,False,False,False,False,False,False,True,1
16,RRV_SD1,False,False,False,False,False,False,False,True,False,False,1
17,RRV_RMSSD,False,False,False,False,False,False,False,False,True,False,1
18,RRV_MedianBB,False,False,False,False,False,False,False,False,True,False,1
19,RRV_CVBB,False,True,False,False,False,False,False,False,False,False,1
20,RSP_Phase_Duration_Expiration,False,False,False,False,False,False,False,False,False,False,0
21,RRV_SampEn,False,False,False,False,False,False,False,False,False,False,0
22,RRV_SDSD,False,False,False,False,False,False,False,False,False,False,0
23,RRV_MCVBB,False,False,False,False,False,False,False,False,False,False,0
24,RRV_LFHF,False,False,False,False,False,False,False,False,False,False,0
25,RRV_CVSD,False,False,False,False,False,False,False,False,False,False,0
