,Label,RSP_Rate_Mean,RSP_Amplitude_Mean,RSP_Phase_Duration_Inspiration,RSP_Phase_Duration_Expiration,RSP_Phase_Duration_Ratio,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SDSD,RRV_CVBB,RRV_CVSD,RRV_MedianBB,RRV_MadBB,RRV_MCVBB,RRV_VLF,RRV_LF,RRV_HF,RRV_LFHF,RRV_LFn,RRV_HFn,RRV_SD1,RRV_SD2,RRV_SD2SD1,RRV_ApEn,RRV_SampEn,Condition,Participant
1,1,18.88580182183126,10.486570246731393,0.002320764447267901,0.00398568375157086,0.5822751106013437,637.4495057182377,3146.7083333333335,647.7829278633435,644.1799123552062,0.20586049269369108,0.20257660964814692,3064.0,668.6526,0.21822865535248043,0.0077267320718559344,0.013174289880159552,0.0009638600371480951,13.668260299638659,0.6025319453674088,0.04408256297133423,455.50398433052214,794.8342994117899,1.7449557561609457,0.2895362102297403,1.504077396776274,Anxious,1
2,2,20.053888896118803,10.699132827944691,0.0021757473899047114,0.0038114811085772403,0.5708403971906029,502.2323499470473,3000.64,413.503615461824,513.0341684244963,0.13780514005739575,0.16737507663266746,2958.0,379.5456,0.12831156186612575,0.009348312907154422,0.03387086203869807,0.00651318601510376,5.200352325291062,0.5554271531443826,0.03020120728989299,362.7699394733627,458.65940632946007,1.264325834150705,0.07045351284641255,1.0986122886681098,Normal,1
3,3,16.677798604225373,9.814558798147132,0.002751949288125458,0.004451315320901336,0.6182328345070425,645.5215591545594,3605.591836734694,704.9972789063132,652.3110457094913,0.19552886483811624,0.17903345369762055,3440.0,732.4044,0.21290825581395348,0.009919189362259476,0.0049597392676888835,0.0002203917329529438,22.50419832556898,0.32847433847915786,0.01459613596214843,461.25356386406924,883.904676055799,1.916309694500885,0.3442538816481422,2.639057329615259,Anxious,1
4,4,14.52507631088568,11.695120687947691,0.0029429604046257267,0.005400189480332645,0.5449735449735449,609.3646964940891,4200.307692307692,437.7935937964725,635.5640777842129,0.10422893413219073,0.14507620420524428,4196.0,551.5272,0.13144118207816968,0.009348312907154422,0.01638565722743946,0.0008656051857758962,18.929712410112202,0.5554271531443826,0.03020120728989299,449.41166927979134,425.85867732572154,0.9475914989216572,0.0285131531036944,1.4923597368592945,Normal,1
5,5,16.766334793483633,10.08882281732193,0.0028400731375221784,0.004332294437998984,0.6555586602359285,783.0231669625108,3590.157894736842,732.2933301645651,788.251893703991,0.2039724579350965,0.2181027102207454,3502.0,714.6132,0.20405859508852084,0.01067487584849354,0.006056135059391717,0.00023565384495791703,25.699283881717353,0.35694316753543825,0.013889226220399476,557.3782593212296,872.8324689441001,1.5659607355461405,0.5127461446126182,2.128231705849268,Normal,1
6,6,15.848109398584686,10.383473787948258,0.0030463518989727644,0.004550367647828774,0.6694737952495649,790.0773168916234,3828.7755102040815,618.9235031254576,798.3434799988897,0.16165050718590387,0.20635247869351073,3760.0,750.1956,0.19952010638297873,0.007654242258873712,0.027705598218306,0.0012733258727344891,21.75845069322887,0.7562982122174894,0.034758826484499926,564.5140884232818,668.9218559845447,1.1849515710987468,0.3593089400911551,1.4923597368592945,Normal,1
7,7,17.03258327922012,11.341649387730143,0.0025380228352804893,0.004543301930931547,0.5586295768725412,824.3531824961467,3543.974683544304,728.8269070042011,826.0930012634088,0.20565240219924666,0.2326069614221163,3490.0,750.1956,0.21495575931232092,0.01590880229798997,0.01241465728925823,0.0003966015053881712,31.302597495456965,0.4322643064447124,0.013809215241880429,584.1359630841035,849.212869296284,1.4537931628325627,1.0783169514005468,2.1445808438507976,Anxious,1
8,8,13.204310962381195,10.750287059917468,0.003750653886625079,0.005405811584170036,0.6938188333474674,1135.8344732474377,4582.121951219512,933.1086156755803,1142.9113787836247,0.2036411570030862,0.2478839466385525,4374.0,636.0354,0.1454127572016461,0.00992111858903082,0.004010112922560976,4.4945960196509947e-05,89.22076433628759,0.2869248713144644,0.0032158979296904233,808.1603862331679,1043.197089441613,1.2908292799452223,0.5425636450995621,1.2163953243244932,Anxious,1
1,1,12.151441068093828,0.4377952573718779,0.006028722452603819,0.0039797929584705185,1.5148331874331293,1866.2164194267318,4991.4,1180.3591680150757,1899.0932033667782,0.23647857675503384,0.3738863684390616,4678.0,1082.298,0.231359127832407,0.008511862438944133,0.03811879383163874,0.0005578541320115901,68.33111317860916,0.807798201435554,0.011821821185966464,1342.861682205932,991.5735139148977,0.7384033121609592,0.2598511711553537,1.4923597368592945,Anxious,2
2,2,17.610459257228907,0.295484041312743,0.003881431597424409,0.0031715348374757434,1.2238338206348316,1419.3290668481359,3432.285714285714,1097.567726514275,1455.7245654746353,0.3197774946141648,0.4135229945865709,3366.0,563.3879999999999,0.1673761140819964,0.009348312907154422,0.03437902583194434,0.0016197187956160757,21.225305235078135,0.5554271531443826,0.03020120728989299,1029.3527117869548,1161.784327363849,1.128655235528542,0.14226675615784456,1.4923597368592945,Normal,2
3,3,16.636571778090797,0.3325255712726377,0.004050086322914428,0.003180619070626262,1.2733641574113332,923.3890399766158,3622.9583333333335,610.2908953526627,933.3620032158897,0.16845098375480333,0.2548715593775664,3605.0,410.68019999999996,0.11391961165048542,0.008887799971968754,0.053117856295491345,0.002742580046496654,19.36784173841839,0.8203753386876667,0.042357602347625326,659.9866017758158,556.1723108687812,0.8427024266436576,0.3654262435317568,2.251291798606495,Anxious,2
4,4,20.073197610755873,0.31590402238973714,0.0030601073721884986,0.0029969472613074143,1.0210748155953637,931.593448313789,3022.777777777778,574.1539612698235,957.4110617579424,0.18994249775513367,0.308191179372325,2987.0,426.98879999999997,0.1429490458654168,0.009348312907154422,0.06294533973423724,0.01970243281260915,3.194800374802117,0.5554271531443826,0.03020120728989299,676.9918541520535,448.3163747794906,0.6622182704709443,0.0973721619876704,1.0986122886681098,Normal,2
5,5,16.89660558141721,0.22914473163665092,0.003685552926279917,0.003554551980424713,1.0368544183842687,965.9747912328237,3610.5066666666667,855.3384089785012,971.316477071267,0.23690259787504464,0.26754549441800146,3592.0,474.43199999999996,0.13208017817371936,0.002489368792099659,0.006091762974434934,0.0011142692915510706,5.467047347194822,0.6283146966215073,0.11492761205807,686.8244676153206,995.7307559941488,1.4497601686372095,0.6718657608495411,1.7676619176489945,Normal,2
6,6,17.754280246148607,0.20589789403464995,0.004043685199396256,0.002805047554043878,1.4415745621020593,1399.4733136275074,3440.2545454545457,1102.1749578494503,1412.4919972191863,0.32037599058061117,0.4067935366807578,3434.0,1052.646,0.30653640069889343,0.005302255287674217,0.022256137765337157,0.0009441586104526253,23.572456490830145,0.7808472037212791,0.033125406510986,998.7826696054166,1196.6672278945186,1.1981257427777348,0.37826058173265054,1.4923597368592945,Normal,2
7,7,18.715101808632866,0.195252845040404,0.0034376208135914513,0.00319018080597307,1.077563004314706,2244.4348495001573,3318.5454545454545,1795.269472551817,2248.8850216438836,0.5409808294452659,0.6763309046817261,3156.0,856.9427999999999,0.27152813688212923,0.010281016550300559,0.0021132109165417517,0.0001628266029324948,12.978290270035625,0.16828874868256813,0.012966942885467316,1590.2018489132458,1979.2026267832844,1.2446235225646884,1.0841652745122485,1.3927575793101024,Anxious,2
8,8,17.41852877631054,0.2845032318346361,0.004378561506599021,0.0028458611320626385,1.5385717374851329,2173.092320932113,3621.1844660194174,1965.6022663703488,2183.537256671293,0.542806444911942,0.6001053912950428,3382.0,1903.6583999999998,0.562879479597871,0.014319741080269094,0.011624596951146478,0.0007658893768686803,15.177905977327109,0.43521145565166836,0.028674011836796926,1543.9940011657422,2311.550791889442,1.4971242052392566,0.7221171137680726,1.658228076603532,Anxious,2
1,1,10.374322149249403,0.3312116333985994,0.0076013282221566916,0.0040058975115065554,1.8975343728396963,2583.8533562620514,5885.68,2259.066376477976,2639.411889642919,0.3838241930376738,0.43900676833637764,5318.0,1378.818,0.2592737871380218,0.00953987144225361,0.0031360569796361377,3.426310591781159e-05,91.52868356881407,0.2467356194259561,0.0026957190883276794,1866.3460455109075,2592.9740116461758,1.3893318540165769,0.26554231397658823,1.791759469228055,Anxious,3
2,2,14.894053734080165,0.42098410040956274,0.004306331243266355,0.0037019884580688925,1.1632481548882818,1111.6679571971226,4012.0,1027.8610572159919,1140.172806819986,0.2561966742811545,0.2770857321029717,4449.0,400.30199999999996,0.08997572488199594,0.009348312907154422,0.0482473538541985,0.0028740467741569524,16.787254225655726,0.5554271531443826,0.03020120728989299,806.2239234269115,1209.545241475684,1.5002596751711694,0.33385002579065004,1.5040773967762742,Normal,3
3,3,11.472311210076493,0.2690643122161985,0.006173160270442262,0.004366049056730971,1.4139008037313132,1533.978894900448,5291.69696969697,1550.1662105409955,1557.6110740696845,0.2929431181373498,0.28988411537637454,5172.0,919.212,0.17772853828306265,0.011307916981996327,0.003507158762523761,8.594011906788356e-05,40.809330968618724,0.2353637359110416,0.0057674000118264615,1101.3973529259358,1895.509016484438,1.721003788005202,0.3106913207102542,1.791759469228055,Anxious,3
4,4,11.6968346118223,0.43267004683550303,0.0073184386055013114,0.0025029969153622625,2.9238704053465057,919.9188369995836,4803.8,535.4752406352075,973.6436719868309,0.11146909543178472,0.19149815500220316,4722.0,419.57579999999996,0.08885552731893265,0.009348312907154422,0.022017347328260568,0.0010588277912435436,20.794077668099575,0.5554271531443826,0.03020120728989299,688.4700429212587,315.3989008647096,0.45811564948626565,0.11778303565638382,1.4923597368592945,Normal,3
5,5,12.999937905391956,0.3828100532812409,0.005177692556475579,0.00417901322422814,1.238974915527312,1559.9741788236404,4693.448275862069,1653.8123440123131,1573.7815703196216,0.35236615955004835,0.3323727219593386,4773.0,1046.7156,0.21929930861093652,0.0029634699274984125,0.0022234089069897377,9.002059132938079e-05,24.698892488435195,0.42134759971197916,0.01705937219287332,1112.8316204794178,2057.1330348026004,1.8485573171585197,0.47619627298129075,1.540445040947149,Normal,3
6,6,13.364011798422759,0.37216125402706146,0.0044991690629374494,0.004766976745255154,0.9438202247191013,2150.535771049648,4627.8,1615.8069064632564,2178.6451509268827,0.3491522767758452,0.46469937574001635,4728.0,1067.4719999999995,0.2257766497461928,0.0076608357012506855,0.016844975096386623,0.00014747761798222472,114.22055310397626,0.6832749778611354,0.005982066793523076,1540.534760019588,1687.72526529649,1.0955450724623899,0.3336539192736643,1.7917594692280547,Normal,3
7,7,12.762484232268216,0.3062122782830253,0.004443374190696629,0.005065209771490119,0.8772339925004619,1662.2601893635235,4762.806818181818,1335.8525868882778,1666.7358531189786,0.280475912184537,0.34900852644661423,4602.0,652.3439999999999,0.14175228161668837,0.01790261415329572,0.008226967641724807,0.0001486848273830317,55.3315882092734,0.3130711686558084,0.005658091133616488,1178.5602241871752,1476.4823282911593,1.2527847945228712,1.0351446915677243,1.6003054288708283,Anxious,3
8,8,11.421889658234129,0.30094128855491814,0.005769641477645199,0.004813884491163743,1.1985417365613615,1584.7499847880467,5323.718309859155,1314.078549327557,1595.6124637817193,0.2468347258144698,0.29767727977890945,5200.0,1150.4976,0.22124953846153844,0.006396406838955766,0.007987359537757345,0.0002746599476820882,29.080903878284094,0.5448988425493143,0.01873734203138757,1128.268393285828,1476.6906583024927,1.308811508937127,0.4819777026025305,2.054123733695546,Anxious,3
1,1,10.367111316632574,1.288327147469087,0.0031144102987075368,0.007794618449524278,0.3995590443426536,1214.5721880563542,5571.692307692308,1743.1909767832271,1235.9310930090992,0.3128656215233868,0.21798981727320252,5031.0,1568.5908,0.3117850924269529,0.0009205786411722756,0.0008764554735968697,1.3233586793000622e-05,66.22962370718994,0.48415793577963323,0.007310292716144071,873.9352569460356,2305.1391996457805,2.637654427286849,0.15566004686091928,1.6094379124341005,Anxious,4
2,2,13.243761135040705,0.6252169065090549,0.0036932699710938302,0.005367885895845465,0.6880306405082637,1180.2130881045732,4595.75,1397.5828419095592,1220.8179459456096,0.304103321962587,0.2568053284239946,4678.0,1202.3886,0.2570304831124412,0.009348312907154422,0.007548958658037745,0.0006432657462703136,11.735365518538766,0.5554271531443826,0.03020120728989299,863.2486481723726,1777.998135946315,2.0596593342029608,0.3163900295658699,1.4923597368592945,Normal,4
3,3,11.122046649810446,0.9385637338814221,0.004688927684580724,0.006108193631389119,0.7676455540775601,2345.3434432224776,5515.870967741936,1694.564717795015,2385.260321222822,0.30721616363131293,0.42519911305731733,5598.0,1269.1055999999999,0.22670696677384777,0.0054258099164613445,0.028508761271550734,0.0021156108530765542,13.475427784884374,0.7908076924287796,0.05868516421540566,1686.6337480318598,1702.4587412302824,1.0093825901544355,0.16529037808208757,0.9808292530117264,Anxious,4
4,4,13.776029198380659,0.5072990780618362,0.0029554370328783476,0.005854750884401048,0.504792960662526,1170.0136751337568,4422.363636363636,1077.5746166950364,1157.7572956175038,0.24366486008398228,0.2645674963300441,4614.0,536.7012,0.11632015604681403,0.009348312907154422,0.019144698119022082,0.0010080550907033046,18.991718107058137,0.5554271531443826,0.03020120728989299,818.6580346993353,1285.3533099164335,1.5700735294053507,0.03326892045416274,1.4923597368592945,Normal,4
5,5,13.06052527274245,0.433506217491824,0.0028364950563798995,0.0065182165544608334,0.4351642865315213,1577.7150477604707,4670.689655172414,1159.6149119865756,1591.6550716684567,0.24827487964275152,0.33779059715801885,4659.0,615.279,0.1320624597553123,0.007204766350421488,0.018616730014260077,0.0021718580561783363,8.571798677772989,0.6650410570441457,0.07758477328318773,1125.4700944867259,1192.7826937960272,1.0598084299521076,0.5039651084953225,0.8873031950009028,Normal,4
